pmid	yearPublished	monthPublished	pmidRetraction	yearRetracted	monthRetracted	retractionType
11049912	2000	Nov	19299812	2009	Apr	RetractionIn
11062124	2000	Nov	12416506	2002	Nov	RetractionIn
11100731	2000	Nov	19340080	2009	Apr	RetractionIn
11108151	2000	Sep	14575318	2003	Sep	RetractionIn
11114493	2000	Dec	12233711	2002	Aug	RetractionIn
11117735	2000	Nov	12621442	2003	Mar	RetractionIn
11135609	2001	Jan	11436224	2001	Jun	RetractionIn
11135621	2001	Jan	11385516	2001	Jun	RetractionIn
11136976	2000	Dec	19203587	2009	Feb	RetractionIn
11137385	2001	Jan	11395282	2001	Jul	RetractionIn
11141555	2001	Jan	12425322	2002	Nov	RetractionIn
11141566	2001	Jan	12526115	2002	Dec	RetractionIn
11146662	2000	Dec	12833069	2003	Jul	RetractionIn
11169971	2001	Mar	12080958	2002	Jun	RetractionIn
11179289	2001	Mar	21177932	2011	Jan	RetractionIn
11202499	2000	Nov	11934009	2002	Mar	RetractionIn
11206594	2000	Dec	11874225	2002	Feb	RetractionIn
11222596	2001	Mar	12867482	2003	Aug	RetractionIn
11242074	2001	Mar	12621441	2003	Mar	RetractionIn
11248046	2001	Mar	20534577	2010	Jun	RetractionIn
11286195	2001	Mar	11411464	2001	Jun	RetractionIn
11292876	2001	Apr	11887789	2002	Feb	RetractionIn
11303093	2001	Apr	12416506	2002	Nov	RetractionIn
11303094	2001	Apr	16614196	2006	Apr	RetractionIn
11320386	2001	Apr	17079770	2006	Nov	RetractionIn
11329338	2001	Apr	12557900	2002	Dec	RetractionIn
11334691	2001	Apr	12380559	2002	Jul	RetractionIn
11340679	2001	May	19911394	2009	Dec	RetractionIn
11350463	2001	Apr	21540659	2011	Jun	RetractionIn
11357854	2001	Apr	19415890	2009	Apr	RetractionIn
11369364	2001	May	12589982	2003	Mar	RetractionIn
11371116	2001	Apr	19108035	2008	Dec	RetractionIn
11376558	2001	May	12038295	2002	Feb	RetractionIn
11386380	2001	May	12143939			RetractionIn
11388449	2001	Apr	21187641	2010		RetractionIn
11396861	2001	Feb	18759949	2008	Aug	RetractionIn
11418471	2001	Jul	18056845	2007	Dec	PartialRetractionIn
11430323	2001	Jun	12482104	2002	Sep	RetractionIn
11433760	2001	Jan	12380568	2002	Jan	RetractionIn
11439362	2001	Jul	17136756	2007	Jan	RetractionIn
11444867	2001	Jul	15540369	2004	Nov	RetractionIn
11447161	2001	Aug	19767645	2009	Oct	RetractionIn
11447192	2001	Aug	15784608	2005	Apr	RetractionIn
11461904	2001	Oct	12243194	2002	Aug	RetractionIn
11474113	2001	Jul	15653487	2005	Jan	RetractionIn
11489795	2001	Aug	12231550	2002	Sep	RetractionIn
11506111	2001	Aug	19218855	2009	Mar	RetractionIn
11509576	2001	Oct	14712821	2004	Jan	RetractionIn
11518677	2001	Sep	19797239	2009	Oct	RetractionIn
11521156	2001	Sep	12416532	2002	Sep	RetractionIn
11527656	2001	Sep	15793927	2005	Feb	RetractionIn
11533443	2001	Sep	12416506	2002	Nov	RetractionIn
11535583	2001	Nov	16498716	2005	Dec	RetractionIn
11535776	2001	Sep	12119325	2002	Jul	RetractionIn
11542874	1993	Oct	11712587	2000	Feb	RetractionIn
11546864	2001	Sep	17185584	2006	Dec	RetractionIn
11558215	2001	Jul	19004130	2008	Jul	RetractionIn
11564576	2001	Oct	17457991	2007	Apr	RetractionIn
